,Season,Round,Venue,Date,Home,GHome,GAway,Away,Winner
0,1996.0,Regular Season,CEFCU Stadium,1996-04-06,SJ,1.0,0.0,DC,SJ
1,1996.0,Regular Season,Rose Bowl,1996-04-13,LA,2.0,1.0,RBNY,LA
2,1996.0,Regular Season,Houlihan's Stadium,1996-04-13,TB,3.0,2.0,NE,TB
3,1996.0,Regular Season,Arrowhead Stadium,1996-04-13,SKC,3.0,0.0,COL,SKC
4,1996.0,Regular Season,Ohio Stadium,1996-04-13,CLB,4.0,0.0,DC,CLB
5,1996.0,Regular Season,Cotton Bowl,1996-04-14,DAL,0.0,0.0,SJ,DAL
6,1996.0,Regular Season,Cotton Bowl,1996-04-18,DAL,3.0,0.0,SKC,DAL
7,1996.0,Regular Season,Ohio Stadium,1996-04-20,CLB,1.0,2.0,TB,TB
8,1996.0,Regular Season,Giants Stadium,1996-04-20,RBNY,0.0,1.0,NE,NE
9,1996.0,Regular Season,Robert F. Kennedy Memorial Stadium,1996-04-20,DC,1.0,2.0,LA,LA
10,1996.0,Regular Season,CEFCU Stadium,1996-04-21,SJ,2.0,2.0,SKC,SKC
11,1996.0,Regular Season,Mile High Stadium,1996-04-21,COL,3.0,1.0,DAL,COL
12,1996.0,Regular Season,Foxboro Stadium,1996-04-27,NE,1.0,1.0,DC,NE
13,1996.0,Regular Season,Giants Stadium,1996-04-27,RBNY,0.0,2.0,CLB,CLB
14,1996.0,Regular Season,Houlihan's Stadium,1996-04-28,TB,1.0,2.0,DAL,DAL
15,1996.0,Regular Season,Rose Bowl,1996-04-28,LA,2.0,1.0,SJ,LA
16,1996.0,Regular Season,Robert F. Kennedy Memorial Stadium,1996-05-01,DC,3.0,1.0,DAL,DC
17,1996.0,Regular Season,Arrowhead Stadium,1996-05-02,SKC,6.0,4.0,CLB,SKC
18,1996.0,Regular Season,Giants Stadium,1996-05-04,RBNY,3.0,3.0,TB,RBNY
19,1996.0,Regular Season,Foxboro Stadium,1996-05-04,NE,1.0,2.0,SJ,SJ
20,1996.0,Regular Season,Cotton Bowl,1996-05-05,DAL,0.0,0.0,CLB,DAL
21,1996.0,Regular Season,Rose Bowl,1996-05-05,LA,3.0,1.0,DC,LA
22,1996.0,Regular Season,Mile High Stadium,1996-05-05,COL,4.0,0.0,SKC,COL
23,1996.0,Regular Season,Houlihan's Stadium,1996-05-08,TB,2.0,0.0,SKC,TB
24,1996.0,Regular Season,CEFCU Stadium,1996-05-08,SJ,3.0,1.0,COL,SJ
25,1996.0,Regular Season,Ohio Stadium,1996-05-11,CLB,3.0,2.0,NE,CLB
26,1996.0,Regular Season,Arrowhead Stadium,1996-05-11,SKC,2.0,3.0,DAL,DAL
27,1996.0,Regular Season,Mile High Stadium,1996-05-11,COL,1.0,2.0,TB,TB
28,1996.0,Regular Season,CEFCU Stadium,1996-05-12,SJ,1.0,2.0,LA,LA
29,1996.0,Regular Season,Robert F. Kennedy Memorial Stadium,1996-05-12,DC,1.0,1.0,RBNY,RBNY
30,1996.0,Regular Season,Robert F. Kennedy Memorial Stadium,1996-05-15,DC,5.0,2.0,CLB,DC
31,1996.0,Regular Season,Giants Stadium,1996-05-16,RBNY,3.0,0.0,COL,RBNY
32,1996.0,Regular Season,Cotton Bowl,1996-05-18,DAL,3.0,2.0,DC,DAL
33,1996.0,Regular Season,Houlihan's Stadium,1996-05-18,TB,3.0,2.0,SJ,TB
34,1996.0,Regular Season,Foxboro Stadium,1996-05-19,NE,2.0,0.0,RBNY,NE
35,1996.0,Regular Season,Rose Bowl,1996-05-19,LA,2.0,0.0,SKC,LA
36,1996.0,Regular Season,Ohio Stadium,1996-05-19,CLB,2.0,4.0,COL,COL
37,1996.0,Regular Season,Arrowhead Stadium,1996-05-22,SKC,2.0,1.0,RBNY,SKC
38,1996.0,Regular Season,Cotton Bowl,1996-05-23,DAL,0.0,1.0,TB,TB
39,1996.0,Regular Season,Foxboro Stadium,1996-05-25,NE,2.0,2.0,COL,NE
